Creation Time: 2021_8_23-21-2-4
21-2-4 | [INFO] TZToxicZoneCore - Started ! => Loading config...
21-2-4 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
21-2-4 | [INFO] TZToxicZoneServer - Started
21-2-51 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
21-2-52 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
21-2-52 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
21-2-52 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
21-2-52 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
21-2-52 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
21-2-52 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-2-52 | [INFO] Cases count:9
21-2-52 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
21-2-52 | [INFO] ToxicCure
21-2-52 | [INFO] AmmoBox_545x39_20Rnd
21-2-52 | [INFO] AmmoBox_556x45_20Rnd
21-2-52 | [INFO] AmmoBox_762x54_20Rnd
21-2-52 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-2-52 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-2-52 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
21-2-52 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-2-52 | [INFO] Cases count:16
21-2-52 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:1888.66 Y:449.046 Z:13704.1
21-2-52 | [INFO] ToxicCure
21-2-52 | [INFO] AmmoBox_762x39_20Rnd
21-2-52 | [INFO] AmmoBox_762x54_20Rnd
21-2-52 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-2-52 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-47-57 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
21-47-57 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
21-47-57 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
21-47-57 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-47-57 | [INFO] Cases count:9
21-47-57 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
21-47-57 | [INFO] ToxicCure
21-47-57 | [INFO] AmmoBox_545x39_20Rnd
21-47-57 | [INFO] AmmoBox_556x45_20Rnd
21-47-57 | [INFO] AmmoBox_762x39_20Rnd
21-47-57 | [INFO] AmmoBox_762x54_20Rnd
21-47-57 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-47-57 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-47-57 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
21-47-57 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-47-57 | [INFO] Cases count:16
21-47-57 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
