Creation Time: 2021_8_29-17-3-0
17-3-0 | [INFO] TZToxicZoneCore - Started ! => Loading config...
17-3-0 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
17-3-0 | [INFO] TZToxicZoneServer - Started
17-3-43 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
17-3-44 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
17-3-44 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
17-3-44 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
17-3-44 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
17-3-44 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
17-3-44 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
17-3-44 | [INFO] Cases count:9
17-3-44 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:8028.43 Y:339.823 Z:14642.8
17-3-44 | [INFO] AK74
17-3-44 | [INFO] AK_RailHndgrd_Black
17-3-44 | [INFO] AK74_WoodBttstck
17-3-44 | [INFO] AK_Bayonet
17-3-44 | [INFO] Mag_AK74_30Rnd
17-3-44 | [INFO] ToxicCure
17-3-44 | [INFO] AmmoBox_545x39_20Rnd
17-3-44 | [INFO] AmmoBox_556x45_20Rnd
17-3-44 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
17-3-44 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
17-3-44 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
17-3-44 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
17-3-44 | [INFO] Cases count:16
17-3-44 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:1705.52 Y:456.485 Z:14167.8
17-3-44 | [INFO] AKM
17-3-44 | [INFO] Mag_AKM_30Rnd
17-3-44 | [INFO] PSO1Optic
17-3-44 | [INFO] AK_Suppressor
17-3-44 | [INFO] AK_PlasticHndgrd
17-3-44 | [INFO] AK_RailHndgrd_Black
17-3-44 | [INFO] AK_Bayonet
17-3-44 | [INFO] ToxicCure
17-3-44 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
17-3-44 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
17-48-49 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
17-48-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
17-48-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
17-48-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
17-48-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
17-48-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
17-48-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
17-48-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
17-48-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
