Creation Time: 2021_8_21-11-33-2
11-33-2 | [INFO] TZToxicZoneCore - Started ! => Loading config...
11-33-2 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
11-33-2 | [INFO] TZToxicZoneServer - Started
11-33-5 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
11-33-6 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
11-33-6 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
11-33-6 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
11-33-6 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
11-33-6 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
11-33-6 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
11-33-6 | [INFO] Cases count:9
11-33-6 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:7832.35 Y:357.1 Z:14794
11-33-6 | [INFO] SVD
11-33-6 | [INFO] Mag_SVD_10Rnd
11-33-6 | [INFO] AK74
11-33-6 | [INFO] AK_RailHndgrd_Black
11-33-6 | [INFO] AK74_WoodBttstck
11-33-6 | [INFO] AK_Bayonet
11-33-6 | [INFO] FAL
11-33-6 | [INFO] Fal_FoldingBttstck
11-33-6 | [INFO] Fal_OeBttstck
11-33-6 | [INFO] Mag_FAL_20Rnd
11-33-6 | [INFO] ACOGOptic
11-33-6 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
11-33-6 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
11-33-6 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
11-33-6 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
11-33-6 | [INFO] Cases count:16
11-33-6 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:1380.56 Y:464.444 Z:14427.8
11-33-6 | [INFO] SVD
11-33-6 | [INFO] Mag_SVD_10Rnd
11-33-6 | [INFO] ToxicCure
11-33-6 | [INFO] AmmoBox_556x45_20Rnd
11-33-6 | [INFO] AmmoBox_762x39_20Rnd
11-33-6 | [INFO] AmmoBox_762x54_20Rnd
11-33-6 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
11-33-6 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
