Creation Time: 2021_8_20-16-0-9
16-0-9 | [INFO] TZToxicZoneCore - Started ! => Loading config...
16-0-9 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
16-0-9 | [INFO] TZToxicZoneServer - Started
16-0-9 | [INFO] MVTZ Count:1
16-1-1 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
16-1-2 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
16-1-2 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
16-1-2 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
16-1-2 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
16-1-2 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
16-1-2 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
16-1-2 | [INFO] Cases count:9
16-1-2 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:7832.35 Y:357.1 Z:14794
16-1-2 | [INFO] AK74
16-1-2 | [INFO] AK_RailHndgrd_Black
16-1-2 | [INFO] AK74_WoodBttstck
16-1-2 | [INFO] AK_Bayonet
16-1-2 | [INFO] AK_FoldingBttstck_Black
16-1-2 | [INFO] AK_Suppressor
16-1-2 | [INFO] Mag_AK74_30Rnd
16-1-3 | [INFO] FAL
16-1-3 | [INFO] Fal_FoldingBttstck
16-1-3 | [INFO] ACOGOptic
16-1-3 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
16-1-3 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
16-1-3 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
16-1-3 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
16-1-3 | [INFO] Cases count:16
16-1-3 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:1534.48 Y:452.701 Z:14176.8
16-1-3 | [INFO] AKM
16-1-3 | [INFO] PSO1Optic
16-1-3 | [INFO] AK_RailHndgrd_Black
16-1-3 | [INFO] AK_Bayonet
16-1-3 | [INFO] AK_FoldingBttstck_Black
16-1-3 | [INFO] M4A1
16-1-3 | [INFO] M4_CQBBttstck
16-1-3 | [INFO] M4_MPBttstck
16-1-3 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
16-1-3 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
16-2-28 | [INFO] m_MovingToxicZoneLocations count:0
