Creation Time: 2021_8_21-6-49-1
6-49-1 | [INFO] TZToxicZoneCore - Started ! => Loading config...
6-49-1 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
6-49-1 | [INFO] TZToxicZoneServer - Started
6-49-1 | [INFO] MVTZ Count:1
6-49-35 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
6-49-36 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
6-49-36 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
6-49-36 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
6-49-36 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
6-49-36 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
6-49-36 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
6-49-36 | [INFO] Cases count:9
6-49-36 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:7903.3 Y:339.05 Z:14637.4
6-49-36 | [INFO] AK74
6-49-36 | [INFO] AK_RailHndgrd_Black
6-49-36 | [INFO] AK74_WoodBttstck
6-49-36 | [INFO] AK_Bayonet
6-49-36 | [INFO] AK_FoldingBttstck_Black
6-49-36 | [INFO] FAL
6-49-36 | [INFO] Fal_FoldingBttstck
6-49-36 | [INFO] Fal_OeBttstck
6-49-36 | [INFO] ACOGOptic
6-49-36 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
6-49-36 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
6-49-36 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
6-49-36 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
6-49-36 | [INFO] Cases count:16
6-49-36 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:1678.46 Y:445.741 Z:13823.8
6-49-36 | [INFO] M4A1
6-49-36 | [INFO] Mag_STANAG_30Rnd
6-49-36 | [INFO] ACOGOptic
6-49-36 | [INFO] M4_Suppressor
6-49-36 | [INFO] ToxicCure
6-49-36 | [INFO] AmmoBox_545x39_20Rnd
6-49-36 | [INFO] AmmoBox_556x45_20Rnd
6-49-36 | [INFO] AmmoBox_762x39_20Rnd
6-49-36 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
6-49-36 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
7-16-57 | [INFO] m_MovingToxicZoneLocations count:0
7-34-41 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
7-34-41 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
7-34-41 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
7-34-41 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
7-34-41 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
7-34-41 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
7-34-41 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
7-34-41 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
