Creation Time: 2021_8_21-21-2-6
21-2-6 | [INFO] TZToxicZoneCore - Started ! => Loading config...
21-2-6 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
21-2-6 | [INFO] TZToxicZoneServer - Started
21-2-48 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
21-2-49 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
21-2-49 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
21-2-49 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
21-2-49 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
21-2-49 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
21-2-49 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-2-49 | [INFO] Cases count:9
21-2-49 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
21-2-49 | [INFO] M4A1
21-2-49 | [INFO] M4_CarryHandleOptic
21-2-49 | [INFO] M4_CQBBttstck
21-2-49 | [INFO] M4_MPHndgrd
21-2-49 | [INFO] M4_RISHndgrd
21-2-49 | [INFO] M4_Suppressor
21-2-49 | [INFO] ToxicCure
21-2-49 | [INFO] AmmoBox_545x39_20Rnd
21-2-49 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-2-49 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-2-49 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
21-2-49 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-2-49 | [INFO] Cases count:16
21-2-49 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
21-2-49 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:1705.52 Y:456.485 Z:14167.8
21-2-49 | [INFO] AKM
21-2-49 | [INFO] Mag_AKM_30Rnd
21-2-49 | [INFO] AK_RailHndgrd_Black
21-2-49 | [INFO] AK_Bayonet
21-2-49 | [INFO] AK_FoldingBttstck_Black
21-2-49 | [INFO] ToxicCure
21-2-49 | [INFO] AmmoBox_545x39_20Rnd
21-2-49 | [INFO] AmmoBox_556x45_20Rnd
21-2-49 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-2-49 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-47-54 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
21-47-54 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
21-47-54 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
21-47-54 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-47-54 | [INFO] Cases count:9
21-47-54 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:8028.43 Y:339.823 Z:14642.8
21-47-54 | [INFO] AK74
