Creation Time: 2021_8_24-13-2-1
13-2-1 | [INFO] TZToxicZoneCore - Started ! => Loading config...
13-2-1 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
13-2-1 | [INFO] TZToxicZoneServer - Started
13-2-44 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
13-2-45 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
13-2-45 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
13-2-45 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
13-2-45 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
13-2-45 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
13-2-45 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
13-2-45 | [INFO] Cases count:9
13-2-45 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
13-2-45 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
13-2-45 | [INFO] AKM
13-2-45 | [INFO] Mag_AKM_30Rnd
13-2-45 | [INFO] AK_Suppressor
13-2-45 | [INFO] AK_PlasticHndgrd
13-2-45 | [INFO] AK_RailHndgrd_Black
13-2-45 | [INFO] AK_Bayonet
13-2-45 | [INFO] AK_FoldingBttstck_Black
13-2-45 | [INFO] ToxicCure
13-2-45 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
13-2-45 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
13-2-45 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
13-2-45 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
13-2-45 | [INFO] Cases count:16
13-2-45 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:1386.16 Y:464.569 Z:14422.1
13-2-45 | [INFO] AKM
13-2-45 | [INFO] PSO1Optic
13-2-45 | [INFO] AK_PlasticHndgrd
13-2-45 | [INFO] AK_RailHndgrd_Black
13-2-45 | [INFO] M4A1
13-2-45 | [INFO] ACOGOptic
13-2-45 | [INFO] M4_MPBttstck
13-2-45 | [INFO] M4_MPHndgrd
13-2-45 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
13-2-45 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
13-47-49 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
13-47-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
13-47-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
13-47-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
13-47-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
13-47-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
13-47-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
13-47-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
13-47-49 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
