Creation Time: 2021_8_29-1-3-0
1-3-0 | [INFO] TZToxicZoneCore - Started ! => Loading config...
1-3-0 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
1-3-0 | [INFO] TZToxicZoneServer - Started
1-3-40 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
1-3-41 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
1-3-41 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
1-3-41 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
1-3-41 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
1-3-41 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
1-3-41 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
1-3-41 | [INFO] Cases count:9
1-3-41 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:7895.69 Y:344.4 Z:14680.6
1-3-41 | [INFO] AKM
1-3-41 | [INFO] Mag_AKM_30Rnd
1-3-41 | [INFO] PSO1Optic
1-3-41 | [INFO] AK_PlasticHndgrd
1-3-41 | [INFO] AK_RailHndgrd_Black
1-3-41 | [INFO] AK_FoldingBttstck_Black
1-3-41 | [INFO] ToxicCure
1-3-41 | [INFO] AmmoBox_762x39_20Rnd
1-3-41 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
1-3-41 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
1-3-41 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
1-3-41 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
1-3-41 | [INFO] Cases count:16
1-3-41 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:1396.58 Y:464.58 Z:14450.6
1-3-41 | [INFO] SVD
1-3-41 | [INFO] PSO1Optic
1-3-41 | [INFO] AK74
1-3-41 | [INFO] AK_RailHndgrd_Black
1-3-41 | [INFO] AK74_WoodBttstck
1-3-41 | [INFO] AK_FoldingBttstck_Black
1-3-41 | [INFO] AK_Suppressor
1-3-41 | [INFO] ToxicCure
1-3-41 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
1-3-41 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
1-48-45 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
1-48-45 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
1-48-45 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
