Creation Time: 2021_8_20-21-2-4
21-2-4 | [INFO] TZToxicZoneCore - Started ! => Loading config...
21-2-4 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
21-2-4 | [INFO] TZToxicZoneServer - Started
21-2-4 | [INFO] MVTZ Count:1
21-3-7 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
21-3-8 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
21-3-8 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
21-3-8 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
21-3-8 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
21-3-8 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
21-3-8 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-3-8 | [INFO] Cases count:9
21-3-8 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
21-3-8 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:8028.43 Y:339.823 Z:14642.8
21-3-8 | [INFO] AK74
21-3-8 | [INFO] AK_RailHndgrd_Black
21-3-8 | [INFO] AK_Bayonet
21-3-8 | [INFO] AK_FoldingBttstck_Black
21-3-8 | [INFO] AK_Suppressor
21-3-8 | [INFO] ToxicCure
21-3-8 | [INFO] AmmoBox_545x39_20Rnd
21-3-8 | [INFO] AmmoBox_556x45_20Rnd
21-3-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-3-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-3-8 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
21-3-8 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-3-8 | [INFO] Cases count:16
21-3-8 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:1694.4 Y:448.403 Z:14210
21-3-8 | [INFO] AKM
21-3-8 | [INFO] Mag_AKM_30Rnd
21-3-8 | [INFO] PSO1Optic
21-3-8 | [INFO] Mag_AKM_Drum75Rnd
21-3-8 | [INFO] AK_Suppressor
21-3-8 | [INFO] AK_PlasticHndgrd
21-3-8 | [INFO] AK_RailHndgrd_Black
21-3-8 | [INFO] AK_FoldingBttstck_Black
21-3-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-3-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-3-35 | [INFO] m_MovingToxicZoneLocations count:0
21-3-35 | [INFO] m_MovingToxicZoneLocations count:0
21-3-46 | [INFO] m_MovingToxicZoneLocations count:0
21-3-50 | [INFO] m_MovingToxicZoneLocations count:0
21-4-13 | [INFO] m_MovingToxicZoneLocations count:0
21-4-39 | [INFO] m_MovingToxicZoneLocations count:0
21-29-1 | [INFO] m_MovingToxicZoneLocations count:0
21-48-14 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
21-48-14 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
21-48-14 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
21-48-14 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
21-48-14 | [INFO] Cases count:9
